PROVINCIAS,MES,CERO,B,C,ECO,Sin_distintivo,Se_desconoce,ANNO,VEHICULO,MES_ANNO
Segovia,9,0,0,12,0,0,0,2019,Moto,9/2019
Segovia,10,0,0,14,0,0,0,2019,Moto,10/2019
Segovia,11,0,0,13,0,0,0,2019,Moto,11/2019
Segovia,12,0,0,14,0,0,0,2019,Moto,12/2019
Sevilla,1,1,0,494,0,3,4,2019,Moto,1/2019
Sevilla,2,2,0,516,0,3,4,2019,Moto,2/2019
Sevilla,3,2,0,629,1,3,5,2019,Moto,3/2019
Sevilla,4,2,0,616,1,3,4,2019,Moto,4/2019
Sevilla,5,2,0,658,1,3,5,2019,Moto,5/2019
Sevilla,6,2,0,670,1,3,5,2019,Moto,6/2019
Sevilla,7,2,0,627,1,3,5,2019,Moto,7/2019
Sevilla,8,1,0,412,0,2,3,2019,Moto,8/2019
Sevilla,9,1,0,448,0,2,3,2019,Moto,9/2019
Sevilla,10,2,0,529,0,3,4,2019,Moto,10/2019
Sevilla,11,2,0,502,0,3,4,2019,Moto,11/2019
Sevilla,12,2,0,529,0,3,4,2019,Moto,12/2019
Soria,1,0,0,7,0,0,0,2019,Moto,1/2019
Soria,2,0,0,8,0,0,0,2019,Moto,2/2019
Soria,3,0,0,9,0,0,0,2019,Moto,3/2019
Soria,4,0,0,9,0,0,0,2019,Moto,4/2019
Soria,5,0,0,10,0,0,0,2019,Moto,5/2019
Soria,6,0,0,10,0,0,0,2019,Moto,6/2019
Soria,7,0,0,9,0,0,0,2019,Moto,7/2019
Soria,8,0,0,6,0,0,0,2019,Moto,8/2019
Soria,9,0,0,7,0,0,0,2019,Moto,9/2019
Soria,10,0,0,8,0,0,0,2019,Moto,10/2019
Soria,11,0,0,7,0,0,0,2019,Moto,11/2019
Soria,12,0,0,8,0,0,0,2019,Moto,12/2019
Tarragona,1,7,0,238,0,3,3,2019,Moto,1/2019
Tarragona,2,8,0,249,0,3,3,2019,Moto,2/2019
Tarragona,3,9,0,304,0,3,3,2019,Moto,3/2019
Tarragona,4,9,0,297,0,3,3,2019,Moto,4/2019
Tarragona,5,10,0,317,0,3,3,2019,Moto,5/2019
Tarragona,6,10,0,323,0,4,4,2019,Moto,6/2019
Tarragona,7,9,0,302,0,3,3,2019,Moto,7/2019
Tarragona,8,6,0,199,0,2,2,2019,Moto,8/2019
Tarragona,9,7,0,216,0,2,2,2019,Moto,9/2019
Tarragona,10,8,0,255,0,3,3,2019,Moto,10/2019
Tarragona,11,7,0,242,0,3,3,2019,Moto,11/2019
Tarragona,12,8,0,255,0,3,3,2019,Moto,12/2019
Teruel,1,0,0,13,0,1,0,2019,Moto,1/2019
Teruel,2,0,0,13,0,1,0,2019,Moto,2/2019
Teruel,3,0,0,16,0,1,0,2019,Moto,3/2019
Teruel,4,0,0,16,0,1,0,2019,Moto,4/2019
Teruel,5,0,0,17,0,1,0,2019,Moto,5/2019
Teruel,6,0,0,17,0,1,0,2019,Moto,6/2019
Teruel,7,0,0,16,0,1,0,2019,Moto,7/2019
Teruel,8,0,0,11,0,0,0,2019,Moto,8/2019
Teruel,9,0,0,12,0,1,0,2019,Moto,9/2019
Teruel,10,0,0,14,0,1,0,2019,Moto,10/2019
Teruel,11,0,0,13,0,1,0,2019,Moto,11/2019
Teruel,12,0,0,14,0,1,0,2019,Moto,12/2019
Toledo,1,2,0,159,0,1,2,2019,Moto,1/2019
Toledo,2,2,0,166,0,1,2,2019,Moto,2/2019
Toledo,3,2,0,202,0,2,2,2019,Moto,3/2019
Toledo,4,2,0,198,0,1,2,2019,Moto,4/2019
Toledo,5,2,0,211,0,2,2,2019,Moto,5/2019
Toledo,6,2,0,215,0,2,2,2019,Moto,6/2019
Toledo,7,2,0,201,0,2,2,2019,Moto,7/2019
Toledo,8,1,0,132,0,1,1,2019,Moto,8/2019
Toledo,9,2,0,144,0,1,1,2019,Moto,9/2019
Toledo,10,2,0,170,0,1,2,2019,Moto,10/2019
Toledo,11,2,0,161,0,1,2,2019,Moto,11/2019
Toledo,12,2,0,170,0,1,2,2019,Moto,12/2019
Valencia/València,1,15,0,744,0,7,6,2019,Moto,1/2019
Valencia/València,2,15,0,777,0,8,6,2019,Moto,2/2019
Valencia/València,3,19,0,948,0,9,8,2019,Moto,3/2019
Valencia/València,4,18,0,928,0,9,8,2019,Moto,4/2019
Valencia/València,5,19,0,991,0,10,8,2019,Moto,5/2019
Valencia/València,6,20,0,1009,0,10,8,2019,Moto,6/2019
Valencia/València,7,18,0,944,0,9,8,2019,Moto,7/2019
Valencia/València,8,12,0,621,0,6,5,2019,Moto,8/2019
Valencia/València,9,13,0,675,0,7,5,2019,Moto,9/2019
Valencia/València,10,16,0,796,0,8,6,2019,Moto,10/2019
Valencia/València,11,15,0,756,0,7,6,2019,Moto,11/2019
Valencia/València,12,16,0,796,0,8,6,2019,Moto,12/2019
Valladolid,1,1,0,93,0,0,1,2019,Moto,1/2019
Valladolid,2,1,0,97,0,0,1,2019,Moto,2/2019
Valladolid,3,1,0,118,0,0,1,2019,Moto,3/2019
Valladolid,4,1,0,115,0,0,1,2019,Moto,4/2019
Valladolid,5,1,0,123,0,0,1,2019,Moto,5/2019
Valladolid,6,1,0,125,0,1,2,2019,Moto,6/2019
Valladolid,7,1,0,117,0,0,1,2019,Moto,7/2019
Valladolid,8,1,0,77,0,0,1,2019,Moto,8/2019
Valladolid,9,1,0,84,0,0,1,2019,Moto,9/2019
Valladolid,10,1,0,99,0,0,1,2019,Moto,10/2019
Valladolid,11,1,0,94,0,0,1,2019,Moto,11/2019
Valladolid,12,1,0,99,0,0,1,2019,Moto,12/2019
Bizkaia,1,2,0,171,0,1,1,2019,Moto,1/2019
Bizkaia,2,2,0,179,0,1,1,2019,Moto,2/2019
Bizkaia,3,3,0,218,0,1,1,2019,Moto,3/2019
Bizkaia,4,3,0,214,0,1,1,2019,Moto,4/2019
Bizkaia,5,3,0,228,0,1,1,2019,Moto,5/2019
Bizkaia,6,3,0,233,0,2,1,2019,Moto,6/2019
Bizkaia,7,3,0,218,0,1,1,2019,Moto,7/2019
Bizkaia,8,2,0,143,0,1,1,2019,Moto,8/2019
Bizkaia,9,2,0,155,0,1,1,2019,Moto,9/2019
Bizkaia,10,2,0,183,0,1,1,2019,Moto,10/2019
Bizkaia,11,2,0,174,0,1,1,2019,Moto,11/2019
Bizkaia,12,2,0,183,0,1,1,2019,Moto,12/2019
Zamora,1,0,0,16,0,0,0,2019,Moto,1/2019
Zamora,2,0,0,17,0,0,0,2019,Moto,2/2019
Zamora,3,0,0,20,0,0,0,2019,Moto,3/2019
Zamora,4,0,0,20,0,0,0,2019,Moto,4/2019
Zamora,5,0,0,21,0,0,0,2019,Moto,5/2019
Zamora,6,0,0,22,0,0,0,2019,Moto,6/2019
Zamora,7,0,0,20,0,0,0,2019,Moto,7/2019
Zamora,8,0,0,13,0,0,0,2019,Moto,8/2019
Zamora,9,0,0,15,0,0,0,2019,Moto,9/2019
Zamora,10,0,0,17,0,0,0,2019,Moto,10/2019
Zamora,11,0,0,16,0,0,0,2019,Moto,11/2019
Zamora,12,0,0,17,0,0,0,2019,Moto,12/2019
Zaragoza,1,4,0,208,0,2,1,2019,Moto,1/2019
Zaragoza,2,4,0,218,0,2,2,2019,Moto,2/2019
Zaragoza,3,4,0,266,0,2,2,2019,Moto,3/2019
Zaragoza,4,4,0,260,0,2,2,2019,Moto,4/2019
Zaragoza,5,5,0,278,0,3,2,2019,Moto,5/2019
Zaragoza,6,5,0,283,0,3,2,2019,Moto,6/2019
Zaragoza,7,4,0,264,0,2,2,2019,Moto,7/2019
Zaragoza,8,3,0,174,0,2,1,2019,Moto,8/2019
Zaragoza,9,3,0,189,0,2,1,2019,Moto,9/2019
Zaragoza,10,4,0,223,0,2,2,2019,Moto,10/2019
Zaragoza,11,4,0,212,0,2,2,2019,Moto,11/2019
Zaragoza,12,4,0,223,0,2,2,2019,Moto,12/2019
Ceuta,1,0,0,57,0,0,0,2019,Moto,1/2019
Ceuta,2,0,0,59,0,0,0,2019,Moto,2/2019
Ceuta,3,0,0,72,0,0,1,2019,Moto,3/2019
Ceuta,4,0,0,71,0,0,1,2019,Moto,4/2019
Ceuta,5,0,0,76,0,0,1,2019,Moto,5/2019
Ceuta,6,0,0,77,0,0,1,2019,Moto,6/2019
Ceuta,7,0,0,72,0,0,1,2019,Moto,7/2019
Ceuta,8,0,0,47,0,0,0,2019,Moto,8/2019
Ceuta,9,0,0,52,0,0,0,2019,Moto,9/2019
Ceuta,10,0,0,61,0,0,0,2019,Moto,10/2019
Ceuta,11,0,0,58,0,0,0,2019,Moto,11/2019
Ceuta,12,0,0,61,0,0,0,2019,Moto,12/2019
Melilla,1,0,0,36,0,0,0,2019,Moto,1/2019
Melilla,2,0,0,37,0,0,0,2019,Moto,2/2019
Melilla,3,0,0,45,0,0,0,2019,Moto,3/2019
Melilla,4,0,0,44,0,0,0,2019,Moto,4/2019
Melilla,5,0,0,48,0,0,0,2019,Moto,5/2019
Melilla,6,0,0,48,0,0,0,2019,Moto,6/2019
Melilla,7,0,0,45,0,0,0,2019,Moto,7/2019
Melilla,8,0,0,30,0,0,0,2019,Moto,8/2019
Melilla,9,0,0,32,0,0,0,2019,Moto,9/2019
Melilla,10,0,0,38,0,0,0,2019,Moto,10/2019
Melilla,11,0,0,36,0,0,0,2019,Moto,11/2019
Melilla,12,0,0,38,0,0,0,2019,Moto,12/2019
Total,nan,6940,96,172715,67,1981,1808,2019,Moto,nan/2019
Araba/Álava,1,0,0,38,0,0,1,2018,Moto,1/2018
Araba/Álava,2,0,0,41,0,0,1,2018,Moto,2/2018
Araba/Álava,3,0,0,47,0,0,1,2018,Moto,3/2018
Araba/Álava,4,0,0,44,0,0,1,2018,Moto,4/2018
Araba/Álava,5,0,0,51,0,0,1,2018,Moto,5/2018
Araba/Álava,6,0,0,53,0,0,1,2018,Moto,6/2018
Araba/Álava,7,0,0,49,0,0,1,2018,Moto,7/2018
Araba/Álava,8,0,0,40,0,0,1,2018,Moto,8/2018
Araba/Álava,9,0,0,30,0,0,1,2018,Moto,9/2018
Araba/Álava,10,0,0,37,0,0,1,2018,Moto,10/2018
Araba/Álava,11,0,0,36,0,0,1,2018,Moto,11/2018
Araba/Álava,12,0,0,37,0,0,1,2018,Moto,12/2018
Albacete,1,0,0,68,0,1,2,2018,Moto,1/2018
Albacete,2,0,0,72,0,1,2,2018,Moto,2/2018
Albacete,3,0,0,82,0,1,2,2018,Moto,3/2018
Albacete,4,0,0,78,0,1,2,2018,Moto,4/2018
Albacete,5,0,0,89,0,1,2,2018,Moto,5/2018
Albacete,6,0,0,93,0,1,2,2018,Moto,6/2018
Albacete,7,0,0,87,0,1,2,2018,Moto,7/2018
Albacete,8,0,0,70,0,1,2,2018,Moto,8/2018
Albacete,9,0,0,52,0,0,1,2018,Moto,9/2018
Albacete,10,0,0,65,0,1,2,2018,Moto,10/2018
Albacete,11,0,0,63,0,1,2,2018,Moto,11/2018
Albacete,12,0,0,66,0,1,2,2018,Moto,12/2018
Alicante/Alacant,1,1,3,523,0,7,4,2018,Moto,1/2018
Alicante/Alacant,2,1,3,555,0,7,4,2018,Moto,2/2018
Alicante/Alacant,3,1,3,638,0,9,5,2018,Moto,3/2018
Alicante/Alacant,4,1,3,600,0,8,5,2018,Moto,4/2018
Alicante/Alacant,5,2,4,692,0,9,5,2018,Moto,5/2018
Alicante/Alacant,6,2,4,719,0,10,5,2018,Moto,6/2018
Alicante/Alacant,7,2,4,672,0,9,5,2018,Moto,7/2018
Alicante/Alacant,8,1,3,545,0,7,4,2018,Moto,8/2018
Alicante/Alacant,9,1,2,404,0,5,3,2018,Moto,9/2018
Alicante/Alacant,10,1,3,500,0,7,4,2018,Moto,10/2018
Alicante/Alacant,11,1,3,490,0,7,4,2018,Moto,11/2018
Alicante/Alacant,12,1,3,510,0,7,4,2018,Moto,12/2018
Almería,1,1,1,120,0,1,2,2018,Moto,1/2018
Almería,2,1,1,128,0,1,2,2018,Moto,2/2018
Almería,3,1,2,147,0,1,2,2018,Moto,3/2018
Almería,4,1,2,138,0,1,2,2018,Moto,4/2018
Almería,5,1,2,159,0,2,2,2018,Moto,5/2018
Almería,6,1,2,166,0,2,2,2018,Moto,6/2018
Almería,7,1,2,155,0,1,2,2018,Moto,7/2018
Almería,8,1,1,126,0,1,2,2018,Moto,8/2018
Almería,9,0,1,93,0,1,1,2018,Moto,9/2018
Almería,10,1,1,115,0,1,2,2018,Moto,10/2018
Almería,11,1,1,113,0,1,2,2018,Moto,11/2018
Almería,12,1,1,117,0,1,2,2018,Moto,12/2018
Ávila,1,0,0,10,0,0,0,2018,Moto,1/2018
Ávila,2,0,0,11,0,0,0,2018,Moto,2/2018
Ávila,3,0,0,12,0,0,0,2018,Moto,3/2018
Ávila,4,0,0,12,0,0,0,2018,Moto,4/2018
Ávila,5,0,0,14,0,0,1,2018,Moto,5/2018
Ávila,6,0,0,14,0,0,1,2018,Moto,6/2018
Ávila,7,0,0,13,0,0,0,2018,Moto,7/2018
Ávila,8,0,0,11,0,0,0,2018,Moto,8/2018
Ávila,9,0,0,8,0,0,0,2018,Moto,9/2018
Ávila,10,0,0,10,0,0,0,2018,Moto,10/2018
Ávila,11,0,0,10,0,0,0,2018,Moto,11/2018
Ávila,12,0,0,10,0,0,0,2018,Moto,12/2018
Badajoz,1,0,0,80,0,1,1,2018,Moto,1/2018
Badajoz,2,0,0,84,0,1,1,2018,Moto,2/2018
Badajoz,3,0,0,97,0,1,1,2018,Moto,3/2018
Badajoz,4,0,0,91,0,1,1,2018,Moto,4/2018
Badajoz,5,0,0,105,0,1,1,2018,Moto,5/2018
Badajoz,6,0,0,109,0,1,1,2018,Moto,6/2018
Badajoz,7,0,0,102,0,1,1,2018,Moto,7/2018
Badajoz,8,0,0,83,0,1,1,2018,Moto,8/2018
Badajoz,9,0,0,61,0,0,1,2018,Moto,9/2018
Badajoz,10,0,0,76,0,1,1,2018,Moto,10/2018
Badajoz,11,0,0,75,0,1,1,2018,Moto,11/2018
Badajoz,12,0,0,78,0,1,1,2018,Moto,12/2018
Balears (Illes),1,5,2,475,0,3,3,2018,Moto,1/2018
Balears (Illes),2,5,2,504,0,3,4,2018,Moto,2/2018
Balears (Illes),3,6,2,579,0,3,4,2018,Moto,3/2018
Balears (Illes),4,6,2,545,0,3,4,2018,Moto,4/2018
Balears (Illes),5,7,2,628,0,3,5,2018,Moto,5/2018
Balears (Illes),6,7,2,653,0,3,5,2018,Moto,6/2018
Balears (Illes),7,6,2,610,0,3,4,2018,Moto,7/2018
Balears (Illes),8,5,2,495,0,3,4,2018,Moto,8/2018
Balears (Illes),9,4,1,367,0,2,3,2018,Moto,9/2018
Balears (Illes),10,5,2,454,0,2,3,2018,Moto,10/2018
Balears (Illes),11,5,2,445,0,2,3,2018,Moto,11/2018
Balears (Illes),12,5,2,463,0,2,3,2018,Moto,12/2018
Barcelona,1,27,4,2595,1,5,23,2018,Moto,1/2018
Barcelona,2,29,4,2751,1,5,24,2018,Moto,2/2018
Barcelona,3,33,5,3162,1,6,28,2018,Moto,3/2018
Barcelona,4,31,4,2975,1,5,26,2018,Moto,4/2018
Barcelona,5,36,5,3430,1,6,30,2018,Moto,5/2018
Barcelona,6,37,5,3566,1,6,32,2018,Moto,6/2018
Barcelona,7,35,5,3332,1,6,30,2018,Moto,7/2018
Barcelona,8,28,4,2704,1,5,24,2018,Moto,8/2018
Barcelona,9,21,3,2004,1,4,18,2018,Moto,9/2018
Barcelona,10,26,4,2479,1,4,22,2018,Moto,10/2018
Barcelona,11,25,4,2428,1,4,22,2018,Moto,11/2018
Barcelona,12,26,4,2530,1,5,22,2018,Moto,12/2018
Burgos,1,0,0,34,0,0,0,2018,Moto,1/2018
Burgos,2,0,0,36,0,0,0,2018,Moto,2/2018
Burgos,3,0,0,41,0,0,0,2018,Moto,3/2018
Burgos,4,0,0,38,0,0,0,2018,Moto,4/2018
Burgos,5,1,0,44,0,0,1,2018,Moto,5/2018
Burgos,6,1,0,46,0,0,1,2018,Moto,6/2018
Burgos,7,0,0,43,0,0,0,2018,Moto,7/2018
Burgos,8,0,0,35,0,0,0,2018,Moto,8/2018
Burgos,9,0,0,26,0,0,0,2018,Moto,9/2018
Burgos,10,0,0,32,0,0,0,2018,Moto,10/2018
Burgos,11,0,0,31,0,0,0,2018,Moto,11/2018
Burgos,12,0,0,33,0,0,0,2018,Moto,12/2018
Cáceres,1,0,0,38,0,0,0,2018,Moto,1/2018
Cáceres,2,0,0,40,0,0,0,2018,Moto,2/2018
Cáceres,3,0,0,46,0,0,1,2018,Moto,3/2018
Cáceres,4,0,0,43,0,0,1,2018,Moto,4/2018
Cáceres,5,0,0,50,0,0,1,2018,Moto,5/2018
Cáceres,6,0,0,52,0,0,1,2018,Moto,6/2018
Cáceres,7,0,0,48,0,0,1,2018,Moto,7/2018
Cáceres,8,0,0,39,0,0,0,2018,Moto,8/2018
Cáceres,9,0,0,29,0,0,0,2018,Moto,9/2018
Cáceres,10,0,0,36,0,0,0,2018,Moto,10/2018
Cáceres,11,0,0,35,0,0,0,2018,Moto,11/2018
Cáceres,12,0,0,37,0,0,0,2018,Moto,12/2018
Cádiz,1,10,1,405,0,1,4,2018,Moto,1/2018
Cádiz,2,10,1,429,0,1,5,2018,Moto,2/2018
Cádiz,3,12,1,494,0,1,5,2018,Moto,3/2018
Cádiz,4,11,1,464,0,1,5,2018,Moto,4/2018
Cádiz,5,13,1,535,0,2,6,2018,Moto,5/2018
Cádiz,6,13,1,557,0,2,6,2018,Moto,6/2018
Cádiz,7,12,1,520,0,1,6,2018,Moto,7/2018
Cádiz,8,10,1,422,0,1,5,2018,Moto,8/2018
Cádiz,9,7,0,313,0,1,3,2018,Moto,9/2018
Cádiz,10,9,1,387,0,1,4,2018,Moto,10/2018
Cádiz,11,9,1,379,0,1,4,2018,Moto,11/2018
Cádiz,12,9,1,395,0,1,4,2018,Moto,12/2018
Castellón/Castelló,1,0,0,75,0,1,3,2018,Moto,1/2018
Castellón/Castelló,2,0,0,79,0,1,3,2018,Moto,2/2018
Castellón/Castelló,3,0,1,91,0,2,3,2018,Moto,3/2018
Castellón/Castelló,4,0,1,86,0,2,3,2018,Moto,4/2018
Castellón/Castelló,5,0,1,99,0,2,4,2018,Moto,5/2018
Castellón/Castelló,6,0,1,103,0,2,4,2018,Moto,6/2018
Castellón/Castelló,7,0,1,96,0,2,3,2018,Moto,7/2018
Castellón/Castelló,8,0,0,78,0,1,3,2018,Moto,8/2018
Castellón/Castelló,9,0,0,58,0,1,2,2018,Moto,9/2018
Castellón/Castelló,10,0,0,72,0,1,3,2018,Moto,10/2018
Castellón/Castelló,11,0,0,70,0,1,3,2018,Moto,11/2018
Castellón/Castelló,12,0,0,73,0,1,3,2018,Moto,12/2018
Ciudad Real,1,0,0,34,0,0,0,2018,Moto,1/2018
Ciudad Real,2,0,0,36,0,0,0,2018,Moto,2/2018
Ciudad Real,3,0,1,41,0,0,1,2018,Moto,3/2018
Ciudad Real,4,0,1,39,0,0,1,2018,Moto,4/2018
Ciudad Real,5,0,1,45,0,0,1,2018,Moto,5/2018
Ciudad Real,6,0,1,47,0,0,1,2018,Moto,6/2018
Ciudad Real,7,0,1,44,0,0,1,2018,Moto,7/2018
Ciudad Real,8,0,0,35,0,0,0,2018,Moto,8/2018
Ciudad Real,9,0,0,26,0,0,0,2018,Moto,9/2018
Ciudad Real,10,0,0,32,0,0,0,2018,Moto,10/2018
Ciudad Real,11,0,0,32,0,0,0,2018,Moto,11/2018
Ciudad Real,12,0,0,33,0,0,0,2018,Moto,12/2018
Córdoba,1,0,0,146,0,0,1,2018,Moto,1/2018
Córdoba,2,0,0,155,0,0,1,2018,Moto,2/2018
Córdoba,3,0,0,178,0,0,1,2018,Moto,3/2018
Córdoba,4,0,0,167,0,0,1,2018,Moto,4/2018
Córdoba,5,0,0,193,0,0,1,2018,Moto,5/2018
Córdoba,6,0,0,201,0,0,1,2018,Moto,6/2018
Córdoba,7,0,0,188,0,0,1,2018,Moto,7/2018
Córdoba,8,0,0,152,0,0,1,2018,Moto,8/2018
Córdoba,9,0,0,113,0,0,1,2018,Moto,9/2018
Córdoba,10,0,0,140,0,0,1,2018,Moto,10/2018
Córdoba,11,0,0,137,0,0,1,2018,Moto,11/2018
Córdoba,12,0,0,142,0,0,1,2018,Moto,12/2018
Coruña (A),1,0,1,100,1,1,3,2018,Moto,1/2018
Coruña (A),2,0,1,106,1,2,3,2018,Moto,2/2018
Coruña (A),3,0,1,122,1,2,4,2018,Moto,3/2018
Coruña (A),4,0,1,115,1,2,4,2018,Moto,4/2018
Coruña (A),5,0,1,133,1,2,4,2018,Moto,5/2018
Coruña (A),6,0,1,138,1,2,4,2018,Moto,6/2018
Coruña (A),7,0,1,129,1,2,4,2018,Moto,7/2018
Coruña (A),8,0,1,105,1,2,3,2018,Moto,8/2018
Coruña (A),9,0,1,78,1,1,2,2018,Moto,9/2018
Coruña (A),10,0,1,96,1,1,3,2018,Moto,10/2018
Coruña (A),11,0,1,94,1,1,3,2018,Moto,11/2018
Coruña (A),12,0,1,98,1,1,3,2018,Moto,12/2018
Cuenca,1,0,0,13,0,0,0,2018,Moto,1/2018
Cuenca,2,0,0,14,0,0,0,2018,Moto,2/2018
Cuenca,3,0,0,16,0,0,0,2018,Moto,3/2018
Cuenca,4,0,0,15,0,0,0,2018,Moto,4/2018
Cuenca,5,0,0,17,0,0,0,2018,Moto,5/2018
Cuenca,6,0,0,18,0,0,0,2018,Moto,6/2018
Cuenca,7,0,0,17,0,0,0,2018,Moto,7/2018
Cuenca,8,0,0,14,0,0,0,2018,Moto,8/2018
Cuenca,9,0,0,10,0,0,0,2018,Moto,9/2018
Cuenca,10,0,0,13,0,0,0,2018,Moto,10/2018
Cuenca,11,0,0,12,0,0,0,2018,Moto,11/2018
Cuenca,12,0,0,13,0,0,0,2018,Moto,12/2018
Girona,1,4,1,314,0,1,3,2018,Moto,1/2018
Girona,2,5,1,333,0,1,3,2018,Moto,2/2018
Girona,3,5,1,383,0,1,4,2018,Moto,3/2018
Girona,4,5,1,360,0,1,3,2018,Moto,4/2018
Girona,5,6,1,415,0,2,4,2018,Moto,5/2018
Girona,6,6,1,431,0,2,4,2018,Moto,6/2018
Girona,7,6,1,403,0,1,4,2018,Moto,7/2018
Girona,8,5,1,327,0,1,3,2018,Moto,8/2018
Girona,9,3,1,242,0,1,2,2018,Moto,9/2018
Girona,10,4,1,300,0,1,3,2018,Moto,10/2018
Girona,11,4,1,294,0,1,3,2018,Moto,11/2018
Girona,12,4,1,306,0,1,3,2018,Moto,12/2018
Granada,1,0,1,286,0,1,2,2018,Moto,1/2018
Granada,2,0,1,303,0,1,2,2018,Moto,2/2018
Granada,3,0,1,349,0,1,2,2018,Moto,3/2018
Granada,4,0,1,328,0,1,2,2018,Moto,4/2018
Granada,5,0,1,378,0,2,3,2018,Moto,5/2018
Granada,6,0,1,393,0,2,3,2018,Moto,6/2018
Granada,7,0,1,367,0,1,3,2018,Moto,7/2018
Granada,8,0,1,298,0,1,2,2018,Moto,8/2018
Granada,9,0,1,221,0,1,2,2018,Moto,9/2018
Granada,10,0,1,273,0,1,2,2018,Moto,10/2018
Granada,11,0,1,268,0,1,2,2018,Moto,11/2018
Granada,12,0,1,279,0,1,2,2018,Moto,12/2018
Guadalajara,1,0,0,21,0,0,1,2018,Moto,1/2018
Guadalajara,2,0,0,23,0,0,1,2018,Moto,2/2018
Guadalajara,3,0,0,26,0,0,1,2018,Moto,3/2018
Guadalajara,4,0,0,25,0,0,1,2018,Moto,4/2018
Guadalajara,5,0,0,28,0,0,2,2018,Moto,5/2018
Guadalajara,6,0,0,30,0,0,2,2018,Moto,6/2018
Guadalajara,7,0,0,28,0,0,1,2018,Moto,7/2018
Guadalajara,8,0,0,22,0,0,1,2018,Moto,8/2018
Guadalajara,9,0,0,17,0,0,1,2018,Moto,9/2018
Guadalajara,10,0,0,21,0,0,1,2018,Moto,10/2018
Guadalajara,11,0,0,20,0,0,1,2018,Moto,11/2018
Guadalajara,12,0,0,21,0,0,1,2018,Moto,12/2018
Gipuzkoa,1,0,0,169,0,1,1,2018,Moto,1/2018
Gipuzkoa,2,0,0,179,0,1,1,2018,Moto,2/2018
Gipuzkoa,3,0,0,206,0,1,1,2018,Moto,3/2018
Gipuzkoa,4,0,0,194,0,1,1,2018,Moto,4/2018
Gipuzkoa,5,0,1,224,0,2,1,2018,Moto,5/2018
Gipuzkoa,6,0,1,233,0,2,1,2018,Moto,6/2018
Gipuzkoa,7,0,0,217,0,1,1,2018,Moto,7/2018
Gipuzkoa,8,0,0,176,0,1,1,2018,Moto,8/2018
Gipuzkoa,9,0,0,131,0,1,1,2018,Moto,9/2018
Gipuzkoa,10,0,0,162,0,1,1,2018,Moto,10/2018
Gipuzkoa,11,0,0,158,0,1,1,2018,Moto,11/2018
Gipuzkoa,12,0,0,165,0,1,1,2018,Moto,12/2018
Huelva,1,4,0,90,0,0,1,2018,Moto,1/2018
Huelva,2,4,0,95,0,0,1,2018,Moto,2/2018
Huelva,3,5,0,109,0,0,1,2018,Moto,3/2018
Huelva,4,5,0,103,0,0,1,2018,Moto,4/2018
Huelva,5,6,0,119,0,0,1,2018,Moto,5/2018
Huelva,6,6,0,123,0,0,1,2018,Moto,6/2018
Huelva,7,5,0,115,0,0,1,2018,Moto,7/2018
Huelva,8,4,0,93,0,0,1,2018,Moto,8/2018
Huelva,9,3,0,69,0,0,1,2018,Moto,9/2018
Huelva,10,4,0,86,0,0,1,2018,Moto,10/2018
Huelva,11,4,0,84,0,0,1,2018,Moto,11/2018
Huelva,12,4,0,87,0,0,1,2018,Moto,12/2018
Huesca,1,0,0,14,0,0,1,2018,Moto,1/2018
Huesca,2,0,0,15,0,0,1,2018,Moto,2/2018
Huesca,3,0,0,17,0,0,1,2018,Moto,3/2018
Huesca,4,0,0,16,0,0,1,2018,Moto,4/2018
Huesca,5,0,0,19,0,0,1,2018,Moto,5/2018
Huesca,6,0,0,19,0,0,1,2018,Moto,6/2018
Huesca,7,0,0,18,0,0,1,2018,Moto,7/2018
Huesca,8,0,0,15,0,0,1,2018,Moto,8/2018
Huesca,9,0,0,11,0,0,0,2018,Moto,9/2018
Huesca,10,0,0,13,0,0,1,2018,Moto,10/2018
Huesca,11,0,0,13,0,0,1,2018,Moto,11/2018
Huesca,12,0,0,14,0,0,1,2018,Moto,12/2018
Jaén,1,1,0,78,0,0,1,2018,Moto,1/2018
Jaén,2,1,0,83,0,0,2,2018,Moto,2/2018
Jaén,3,1,0,95,0,1,2,2018,Moto,3/2018
Jaén,4,1,0,89,0,1,2,2018,Moto,4/2018
Jaén,5,1,0,103,0,1,2,2018,Moto,5/2018
Jaén,6,1,0,107,0,1,2,2018,Moto,6/2018
Jaén,7,1,0,100,0,1,2,2018,Moto,7/2018
Jaén,8,1,0,81,0,0,2,2018,Moto,8/2018
Jaén,9,0,0,60,0,0,1,2018,Moto,9/2018
Jaén,10,1,0,74,0,0,1,2018,Moto,10/2018
Jaén,11,1,0,73,0,0,1,2018,Moto,11/2018
Jaén,12,1,0,76,0,0,1,2018,Moto,12/2018
León,1,0,0,49,0,0,1,2018,Moto,1/2018
León,2,0,0,52,0,0,1,2018,Moto,2/2018
León,3,1,0,60,0,0,2,2018,Moto,3/2018
León,4,1,0,57,0,0,2,2018,Moto,4/2018
León,5,1,0,65,1,0,2,2018,Moto,5/2018
León,6,1,0,68,1,0,2,2018,Moto,6/2018
León,7,1,0,63,0,0,2,2018,Moto,7/2018
León,8,0,0,51,0,0,1,2018,Moto,8/2018
León,9,0,0,38,0,0,1,2018,Moto,9/2018
